Front,Back
冷たい,"<b>Word/Phrase</b>: 冷たい<br><b>Romaji</b>: tsumetai<br><b>Meaning</b>: cold (other thing)<br><b>Example</b>: 冷たい風が部屋の隅々まで染み渡り、冬の訪れを感じさせた
tsumetai kaze ga heya no sumizumi made shimiwataru, fuyu no otozure o kanjiseta
(the cold wind seeped into every corner of the room, signaling the arrival of winter)

冷たいビールを一口飲んだ瞬間、疲れが吹き飛ぶようだった
tsumetai bīru o hitokuchi nonda shunkan, tsukare ga fukitobu yō datta
(the moment I took a sip of the cold beer, my fatigue seemed to vanish instantly)"
強い,"<b>Word/Phrase</b>: 強い<br><b>Romaji</b>: tsuyoi<br><b>Meaning</b>: strong<br><b>Example</b>: この公園では、強い風が吹くと木の枝が折れてしまうことがある。
Kono kōen de wa, tsuyoi kaze ga fuku to ki no edi ga orete shimau koto ga aru.
(In this park, when a strong wind blows, branches sometimes snap.)

先週の台風で、強い風に負けた古い家が何軒も倒れた。
Senshū no taifū de, tsuyoi kaze ni maketa furui ie ga nanken mo taoreta.
(Last week’s typhoon toppled several old houses that couldn’t withstand the strong winds.)"
嬉しい,"<b>Word/Phrase</b>: 嬉しい<br><b>Romaji</b>: ureshii<br><b>Meaning</b>: happy<br><b>Example</b>: 友達から誕生日プレゼントをもらって、とても嬉しかったです
tomodachi kara tanjōbi purezento o moratte, totemo ureshikatta desu
(I was very happy to receive a thoughtful birthday present from my friend, which made my day even more special.)"
薄い,"<b>Word/Phrase</b>: 薄い<br><b>Romaji</b>: usui<br><b>Meaning</b>: gak kuat (rasa), muda (warna), thin (surface)<br><b>Example</b>: このコートは薄くて、寒い日に着るのには適していない
kono kōto wa usukute, samui hi ni kiru no ni wa tekishite inai
(This coat is too thin and not suitable to wear on cold days)"
美しい,"<b>Word/Phrase</b>: 美しい<br><b>Romaji</b>: utsukushii<br><b>Meaning</b>: indah<br><b>Example</b>: 春の公園は花が咲き乱れ、色とりどりの景色がとても美しいです
haru no kōen wa hana ga sakimidare, irodoridori no keshiki ga totemo utsukushii desu
(Spring park is breathtakingly beautiful with flowers in full bloom, creating a vibrant and colorful landscape)"
若い,"<b>Word/Phrase</b>: 若い<br><b>Romaji</b>: wakai<br><b>Meaning</b>: young<br><b>Example</b>: 若い頃は、友達と公園でサッカーをして一日中遊んでいました。
wakai koro wa, tomodachi to kōen de sakkā o shite ichinichijū asonde imashita.
(When I was young, I used to play soccer with friends in the park all day long.)

若い時は、将来の夢を語り合いながら夜遅くまでカフェで勉強したものです。
wakai toki wa, shōrai no yume o katarai nagara yoru osoku made kafe de benkyō shita mono desu.
(When I was young, I would stay up late at cafes studying while talking about my dreams for the future.)"
悪い,"<b>Word/Phrase</b>: 悪い<br><b>Romaji</b>: warui<br><b>Meaning</b>: gak enak (badan)<br><b>Example</b>: 昨日の夜、隠しておいたお菓子を食べてしまったせいで、母にひどく怒られた。
kinō no yoru, kakushite oita okashi o tabete shimatta sei de, haha ni hidoku okorareta.
(Last night, because I ended up eating the snacks I had hidden away, my mother scolded me terribly.)

朝から頭がずきずきして、熱もあるみたいだから、会社を休むと上司に連絡した。
asa kara atama ga zukizuki shite, netsu mo aru mitai dakara, kaisha o yasumu to jōshi ni renraku shita.
(Since my head has been throbbing since morning and I seem to have a fever, I contacted my boss to say I’d take the day off.)"
易しい,"<b>Word/Phrase</b>: 易しい<br><b>Romaji</b>: yasashii<br><b>Meaning</b>: easy<br><b>Example</b>: この本は易しい日本語で書かれているので、初心者にも読みやすいです。
kono hon wa yasashii nihongo de kakarete iru node, shoshinsha ni mo yomiyasui desu.
(This book is written in simple Japanese, making it easy to read for beginners.)

易しい問題なので、誰でも解くことができる。
yasashii mondai na node, dare demo toku koto ga dekiru.
(It is an easy problem, so anyone can solve it.)"
優しい,"<b>Word/Phrase</b>: 優しい<br><b>Romaji</b>: yasashii<br><b>Meaning</b>: kind<br><b>Example</b>: 優しい先生は生徒の悩みに耳を傾け、常に優しく接します
yasashii sensei wa seito no nayami ni mimi o katamuke, tsune ni yasashiku setsuroku shimasu
(A kind teacher listens to students' worries and always treats them gently)

優しい言葉一つで、人を勇気づけることができる
yasashii kotoba hitotsu de, hito o yūki zukeru koto ga dekiru
(A single kind word can give someone the courage they need)"
野生,"<b>Word/Phrase</b>: 野生<br><b>Romaji</b>: yasei<br><b>Meaning</b>: wild<br><b>Example</b>: 山で野生の動物を見たとき、その自由で力強い姿に深く感動しました
yama de yasei no dōbutsu o mita toki, sono jiyū de chikarazuyoi sugata ni fukaku kandō shimashita
(When I saw wild animals in the mountains, I was deeply moved by their free and powerful presence)"
安い,"<b>Word/Phrase</b>: 安い<br><b>Romaji</b>: yasui<br><b>Meaning</b>: cheap<br><b>Example</b>: この町で一番人気があるレストランは、学生にもやさしい値段で、毎日のように行列ができている。
kono machi de ichiban ninki ga aru resutoran wa, gakusei ni mo yasashii nedan de, mainichi no yō ni gyoretsu ga dekite iru.
(In this town, the most popular restaurant offers prices even students find affordable, and lines form there almost every day.)

出張が多い人は、駅から徒歩5分のホテルを選ぶが、そのホテルは他より安い上に、サービスも評判が良い。
shucchō ga ōi hito wa, eki kara toho 5-fun no hoteru o erabu ga, sono hoteru wa hoka yori yasui ue ni, sābisu mo hyōban ga yoi.(
People who travel often for work choose a hotel just a 5-minute walk from the station, which is not only cheaper than others but also known for its excellent service.)"
柔らかい,"<b>Word/Phrase</b>: 柔らかい<br><b>Romaji</b>: yawarakai<br><b>Meaning</b>: soft (benda, suara, sikap)<br><b>Example</b>: このパンは作り立てで、中がふわふわしています。手で簡単にちぎれるほど柔らかいです。
kono pan wa tsukuri tate de, naka ga fuwafuwa shite imasu. te de kantan ni chigireru hodo yawarakai desu.
(This bread is freshly baked with a fluffy interior so soft that it can be easily torn apart by hand)

赤ちゃんの肌のようにすべすべしています。触ると心地よい柔らかさです。
akachan no hada no yō ni subesubesu shite imasu. sawaru to kokochi yoi yawarakasa desu.
(The softness is smooth like a baby’s skin and feels pleasant to the touch)"
弱い,"<b>Word/Phrase</b>: 弱い<br><b>Romaji</b>: yowai<br><b>Meaning</b>: weak<br><b>Example</b>: 弱い子供は風邪をひきやすいだけでなく、体力もすぐなくなってしまいます。
yowai kodomo wa kaze o hiki yasui dake de naku, tairyoku mo sugu nakunatte shimaimasu.
(Weak children not only catch colds easily but also quickly lose their stamina)

彼の精神は弱く、少しの批判にも耐えられないようだ。
kare no seishin wa yowaku, sukoshi no hihan ni mo taerarenai yō da.
(His mental strength is weak, and he seems unable to endure even the slightest criticism)"
ゆっくり,"<b>Word/Phrase</b>: ゆっくり<br><b>Romaji</b>: yukkuri<br><b>Meaning</b>: slowly<br><b>Example</b>: ゆっくりお茶を飲むことで、心が落ち着くことがある。
yukkuri ocha o nomu koto de, kokoro ga ochitsuku koto ga aru.
(Drinking tea slowly can sometimes calm the heart.)

ゆっくりと話すことで、相手の気持ちを理解することができる。
yukkuri to hanasu koto de, aite no kimochi o rikai suru koto ga dekiru.
(Speaking slowly can help understand the other person's feelings.)"
緩い,"<b>Word/Phrase</b>: 緩い<br><b>Romaji</b>: yurui<br><b>Meaning</b>: loose<br><b>Example</b>: この靴は緩いので、長時間歩いても疲れにくいです。
kono kutsu wa yurui node, chōjikan aruite mo tsukare ni kui desu.
(These shoes are loose, so they are less tiring even if you walk for a long time.)

緩い服を着ることで、動きやすくなります。
yurui fuku o kiru koto de, ugoki yasuku narimasu.
(Wearing loose clothes makes it easier to move.)"
豊か,"<b>Word/Phrase</b>: 豊か<br><b>Romaji</b>: yutaka<br><b>Meaning</b>: abundant, rich, makmur<br><b>Example</b>: 豊かな自然に囲まれて、心が満たされるような生活を送っています
yutaka na shizen ni kakomarete, kokoro ga mitasareru you na seikatsu o okutte imasu
(Living surrounded by abundant nature, I spend my days feeling deeply fulfilled)

豊かな文化遺産を守りながら、現代的な価値観と調和させる取り組みが進められています
yutaka na bunka isan o mamorinagara, gendaiteki na kachikan to chouwa saseru torikumi ga susumerarete imasu
(Efforts are underway to preserve rich cultural heritage while harmonizing it with modern values)"
有利,"<b>Word/Phrase</b>: 有利<br><b>Romaji</b>: yuuri<br><b>Meaning</b>: menguntungkan<br><b>Example</b>: この商品は値段が安くて品質も良いので、購入者にとって非常に有利です
kono shōhin wa nedan ga yasukute hinshitsu mo yoi node, kōnyūsha ni totte hijō ni yūri desu
(This product is not only inexpensive but also of good quality, making it very advantageous for buyers)

この投資案件は長期的に見ればリスクが低く利益率も高いため、投資家にとって有利です
kono tōshi anken wa chōkitekini mireba risuku ga hikuku riekiritsu mo takai tame, tōshika ni totte yūri desu
(This investment opportunity has low risk and a high return rate in the long term, making it advantageous for investors)"
有力,"<b>Word/Phrase</b>: 有力<br><b>Romaji</b>: yuuryoku<br><b>Meaning</b>: influential <br><b>Example</b>: この選挙では、有力な候補者が若者の支持を集めているため、
kono senkyo de wa, yuuryoku na kouhosha ga wakamono no shiji o atsumete iru tame,
(In this election, influential candidates are gaining support from young voters, so...)

その政策が今後の社会に大きな影響を与えるだろう。
sono seisaku ga kongogo no shakai ni ookina eikyou o ataeru darou.
(...their policies will likely have a major impact on future society.)

—

先月見つかった有力な証拠によって、これまでの調査結果が
sengetsu mitsukatta yuuryoku na shouko ni yotte, kore made no chousa kekka ga
(Due to the influential evidence found last month, the investigation results so far...)

根本から見直されることになった。
konpon kara mi'naosareru koto ni natta.
(...have come to be fundamentally reconsidered.)"
残念,"<b>Word/Phrase</b>: 残念<br><b>Romaji</b>: zannen<br><b>Meaning</b>: disappointing<br><b>Example</b>: 試験で一生懸命勉強したのに、思ったより点数が低く、残念な結果に終わった。
Shiken de isshōkenmei benkyō shita noni, omotta yori tensū ga hikuku, zannen na kekka ni owatta.
(Despite studying hard for the exam, the score was lower than expected, and it ended in disappointment.)

友達と約束していた映画が急に中止になり、とても残念だった。
Tomodachi to yakusoku shite ita eiga ga kyū ni chūshi ni nari, totemo zannen datta.
(The movie I had promised to watch with my friend was suddenly canceled, which was very disappointing.)"
狡い,"<b>Word/Phrase</b>: 狡い<br><b>Romaji</b>: zurui<br><b>Meaning</b>: licik<br><b>Example</b>: 彼がクラスで一番人気なのは、狡い話し方でいつでも先生の質問に正解を導くからだ。
kare ga kurasu de ichiban ninki nano wa, zurui hanashikata de itsudemo sensei no shitsumon ni seikai o michibiku karada.

(He is the most popular in class because, with his cunning way of speaking, he always manages to guide the teacher’s questions toward the correct answer.)

---

先月発表された新商品は、狡い広告戦略で消費者の関心を引き、売り上げが急上昇した。
sengetsu happyō sa reta shin shōhin wa, zurui kōkoku senryaku de shōhisha no kanshin o hiki, uriage ga kyūjōshō shita.

(The new product released last month, through cunning advertising strategies that captured consumer interest, saw a sudden surge in sales.)"
相変わらず,"<b>Word/Phrase</b>: 相変わらず<br><b>Romaji</b>: aikawarazu<br><b>Meaning</b>: as usual <br><b>Example</b>: この街で一番人気のカフェは、相変わらず朝から夜まで客でいっぱいだが、その分活気がある。
Kono machi de ichiban ninki no kafe wa, aikawarazu asa kara yoru made kyaku de ippai daga, sono bun katsuki ga aru.
(The most popular café in town, as usual, is packed with customers from morning till night, but that’s what makes it so lively.)

山田さんは相変わらず細かいところまで気を使う人なので、同僚からいつも感謝されている。
Yamada-san wa aikawarazu komakai tokoro made ki o tsukau hito nanode, dōryō kara itsumo kansha sarete iru.
(Mr. Yamada, as usual, is someone who pays attention to even the smallest details, so he is always appreciated by his coworkers.)"
あまり,"<b>Word/Phrase</b>: あまり<br><b>Romaji</b>: amari<br><b>Meaning</b>: tidak terlalu (+ kalimat negatif)<br><b>Example</b>: この本はあまり面白くないので、途中で読むのをやめた。
kono hon wa amari omoshirokunai node, tochū de yomu no o yameta.
(This book wasn’t very interesting, so I stopped reading it halfway.)

このレストランの料理はあまりおいしくなかったので、二度と行きたくない。
kono resutoran no ryōri wa amari oishikunakatta node, nido to ikitakunai.
(The food at this restaurant wasn’t very good, so I never want to go there again.)"
ある～,"<b>Word/Phrase</b>: ある～<br><b>Romaji</b>: aru<br><b>Meaning</b>: sesuatu<br><b>Example</b>: ある会社に入社する前に、業界の動向をしっかりと調査しておくべきだ
aru kaisha ni nyūsha suru mae ni, gyōkai no dōkō o shikkari to chōsa shite oku beki da
(Before joining some company, you should thoroughly research industry trends)

ある会社の社員は、毎週金曜日にチームビルディングのワークショップを行っている
aru kaisha no shain wa, maishū kin'yōbi ni chīmu birudingu no wākushoppu o okonatte iru
(Employees at a certain company hold team-building workshops every Friday)"
ばかり,"<b>Word/Phrase</b>: ばかり<br><b>Romaji</b>: bakari<br><b>Meaning</b>: only/constantly<br><b>Example</b>: 最近は残業ばかりで、家族と過ごす時間が全然ありません
saikin wa zangyō bakari de, kazoku to sugosu jikan ga zenzen arimasen
(Lately, I’ve been constantly working overtime and have no time to spend with my family)

このレストランのメニューは肉ばかりで、ベジタリアンの私には選択肢がありません
kono resutoran no menyū wa niku bakari de, bejitarian no watashi ni wa sentakushi ga arimasen
(This restaurant’s menu is nothing but meat, so as a vegetarian, I have no options.)"
別々,"<b>Word/Phrase</b>: 別々<br><b>Romaji</b>: betsubetsu + ni<br><b>Meaning</b>: sendiri2/masing2<br><b>Example</b>: 私たちは別々の大学で専攻を変え、それぞれの夢を追いかけています
Watashi-tachi wa betsubetsu no daigaku de senkō o kae, sorezore no yume o oikakete imasu
(We attend different universities, change our majors, and each chase our own dreams)

このプロジェクトでは、メンバーが別々の役割を担当し、協力しながら進めています
Kono purojekuto de wa, menbā ga betsubetsu ni yakuwari o tantō shi, kyōryoku shinagara susumete imasu
(In this project, members take on separate roles and work together to move forward)"
ちゃんと,"<b>Word/Phrase</b>: ちゃんと<br><b>Romaji</b>: chanto<br><b>Meaning</b>: secara teratur<br><b>Example</b>: このクラスでは、ちゃんと宿題をやってくる学生だけが、次のテストで高い点を取れるようになっている。
Kono kurasu de wa, chanto shukudai o yatte kuru gakusei dake ga, tsugi no tesuto de takai ten o toreru you ni natte iru.
(In this class, only students who properly do their homework are able to get high scores on the next test.)

先月買ったコピー機がもう壊れたが、ちゃんとメンテナンスをしていれば、こんなに早く故障することはなかっただろう。
Sengetsu katta kopī-ki ga mou kowareta ga, chanto mente-nansu o shite ireba, konnani hayaku koshō suru koto wa nakatta darou.
(The copier bought last month is already broken, but if it had been maintained properly, it probably wouldn’t have malfunctioned this soon.)"
ちょっとも,"<b>Word/Phrase</b>: ちょっとも<br><b>Romaji</b>: chottomo<br><b>Meaning</b>: sama sekali<br><b>Example</b>: その新しい同僚は、ちょっとも仕事の経験がないようだが、自信たっぷりに説明していた。
sono atarashī dōryō wa, chottomo shigoto no keiken ga nai yō da ga, jishin tappuri ni setsumei shite ita.
(The new coworker, who seemed to have no work experience at all, was explaining things with utter confidence.)

母は、試験の結果をちょっとも気にせず、「次は頑張ればいい」と笑顔で言った。
haha wa, shiken no kekka o chottomo ki ni sezu, ""tsugi wa ganbareba ii"" to egao de itta.
(My mother, not worried about the exam results at all, smiled and said, ""Just do your best next time."")"
ちょうど,"<b>Word/Phrase</b>: ちょうど<br><b>Romaji</b>: choudo<br><b>Meaning</b>: pas, tepat<br><b>Example</b>: そのレストランは駅からちょうど５分で、いつもお客さんでいっぱいだ。
sono resutoran wa eki kara choudo go-fun de, itsumo okyaku-san de ippai da.
(The restaurant is exactly five minutes from the station and always packed with customers.)

友だちと待ち合わせをした時、ちょうど電車が来たので、急いで乗った。
tomodachi to machiawase o shita toki, choudo densha ga kita node, isoide notta.
(When I met up with my friend, the train arrived just at that moment, so we hurried and got on.)"
中,"<b>Word/Phrase</b>: 中<br><b>Romaji</b>: chuu<br><b>Meaning</b>: seluruh<br><b>Example</b>: この新技術は、環境問題を解決する可能性があるため、世界中の研究者が熱心に研究を進めている。
kono shin-gijutsu wa, kankyou mondai o kaiketsu suru kanousei ga aru tame, sekaijū no kenkyuusha ga nesshin ni kenkyuu o susumete iru.
(Karena teknologi baru ini memiliki potensi untuk menyelesaikan masalah lingkungan, para peneliti di seluruh dunia sedang giat melanjutkan penelitian.)

先月開催された国際会議では、世界中から参加した科学者たちが、エネルギー不足の解決に向けて意見を交わした。
sengetsu kaisai sareta kokusai kaigi de wa, sekaijū kara sanka shita kagakusha-tachi ga, enerugī busoku no kaiketsu ni mukete iken o kawashita.
(Pada konferensi internasional yang diadakan bulan lalu, para ilmuwan yang datang dari seluruh dunia saling bertukar pendapat untuk mengatasi kekurangan energi.)"
大体,"<b>Word/Phrase</b>: 大体<br><b>Romaji</b>: daitai<br><b>Meaning</b>: kurang lebih/sebagian besar<br><b>Example</b>: この会議では参加者のだいたい8割が、新しい計画に賛成したため、次週から実行することになった。
kono kaigi de wa sanka-sha no daitai hachiwari ga, atarashī keikaku ni sansei shita tame, jishū kara jikkō suru koto ni natta.
(In this meeting, since roughly 80% of participants agreed to the new plan, it was decided to implement it starting next week.)

先月始まったこの建物の工事は、だいたい予定通り進んでいるが、まだ細かい部分が残っている。
sengetsu hajimatta kono tatemono no kōji wa, daitai yotei-dōri susunde iru ga, mada komakai bubun ga nokotte iru.
(The construction of this building, which started last month, is progressing mostly as scheduled, though some minor details remain unfinished.)"
だから,"<b>Word/Phrase</b>: だから<br><b>Romaji</b>: dakara<br><b>Meaning</b>: therefore<br><b>Example</b>: 今日、試験があるから、一生懸命勉強しなければならない。
Kyō, shiken ga aru dakara, isshōkenmei benkyō shinakereba narani.

(Today, there's an exam, so I must study very hard.)

このレストランは評判が良いから、予約をしておいたほうがいい。
Kono resutoran wa hyōban ga ii dakara, yoyaku o shite oita hō ga ii.

(The reviews for this restaurant are good, so it would be better to make a reservation.)"
だけで,"<b>Word/Phrase</b>: だけで<br><b>Romaji</b>: dakede<br><b>Meaning</b>: just by<br><b>Example</b>: この人は、朝の挨拶を交わすだけで、周りの雰囲気がパッと変わる不思議な力を持っている。

kono hito wa, asa no aisatsu o kawasu dake de, mawari no fun'iki ga patto kawaru fushigi na chikara o motte iru.

(This person has a mysterious power—just by exchanging morning greetings, the atmosphere around them instantly changes.)

---
新しいクラスメートと話すだけで、これまで退屈だと思っていた授業が、急に楽しみになった。

atarashii kurasumeeto to hanasu dake de, kore made taikutsu da to omotte ita jugyou ga, kyuu ni tanoshimi ni natta.

(Simply by talking to the new classmate, the lessons I had always found boring suddenly became something to look forward to.)"
だんだん,"<b>Word/Phrase</b>: だんだん<br><b>Romaji</b>: dandan<br><b>Meaning</b>: lama kelamaan<br><b>Example</b>: 天気が悪くなって、だんだん寒くなり、外出するのも億劫になってきました。
tenki ga waruku natte, dandan samuku narikomi, gaishutsu suru no mo okku teki ni natte kimashita
(As the weather worsened, it gradually got colder, and going outside became more and more of a chore)

この町の人口は減り続け、だんだん活気が失われていきました。
kono machi no jinkō wa heritsuzuke, dandan katsuryoku ga ushinawarete ikimashita
(The population of this town kept decreasing, and its vitality gradually faded away)"
出来るだけ,"<b>Word/Phrase</b>: 出来るだけ<br><b>Romaji</b>: dekiru dake<br><b>Meaning</b>: sebisa mungkin<br><b>Example</b>: 出来るだけ今日の仕事を終わらせるように頑張ります。
dekiru dake kyō no shigoto o owaraseru yō ni ganbarimasu.
(I will do my best to finish today's work as much as possible.)

出来るだけ多くの人にこのイベントの情報を伝えたいと思っています。
dekiru dake ōku no hito ni kono ibento no jōhō o tsutaetai to omotte imasu.
(I want to share information about this event with as many people as possible.)"
初め,"<b>Word/Phrase</b>: 初め<br><b>Romaji</b>: hajime<br><b>Meaning</b>: beginning<br><b>Example</b>: 日本語の勉強を初めからやり直すことに決めました。
Nihongo no benkyou o hajime kara yarinaosu koto ni kimemashita.
(I decided to restart studying Japanese from the beginning.)

大学を卒業して、新しい人生の初めに立っています。
Daigaku o sotsugyou shite, atarashii jinsei no hajime ni tatte imasu.
(After graduating from university, I stand at the beginning of a new life.)"
はっきり,"<b>Word/Phrase</b>: はっきり<br><b>Romaji</b>: hakkiri<br><b>Meaning</b>: clearly<br><b>Example</b>: はっきりした理由がないまま、彼は辞表を提出しました。
hakkiri shita riyū ga nai mama, kare wa jidaishō o teishutsu shimashita.
(He submitted his resignation without a clear reason.)

はっきりしたルールがないため、ゲームの進行が混乱しています。
hakkiri shita rūru ga nai tame, gēmu no shinkō ga konran shite imasu.
(The game's progress is in chaos due to the lack of clear rules.)"
はずだ,"<b>Word/Phrase</b>: はずだ<br><b>Romaji</b>: hazuda<br><b>Meaning</b>: should be (expectation)<br><b>Example</b>: 先週から風邪で休んでいた山田さんだが、今日こそは医者の許可も出たので学校にいるはずだ。
senshū kara kazede yasunde ita Yamada-san da ga, kyō koso wa isha no kyoka mo deta node gakkō ni iru hazuda.
(Though Yamada has been absent with a cold since last week, he should be at school today since the doctor finally gave permission.)

発表資料の最終確認を済ませた後、参加者全員に事前連絡も行ったので、予定通り会議は3時に始まるはずだ。
happyō shiryō no saishū kakunin o sumaseta ato, sanka-sha zen’in ni jizen renraku mo okonatta node, yotei dōri kaigi wa san-ji ni hajimaru hazuda.
(After finalizing the presentation materials and notifying all participants in advance, the meeting should start at 3 PM as scheduled.)"
ほぼ,"<b>Word/Phrase</b>: ほぼ<br><b>Romaji</b>: hobo<br><b>Meaning</b>: almost<br><b>Example</b>: この大学の学生は、ほぼ毎日図書館で勉強しているそうで、試験の成績も非常に良い。
kono daigaku no gakusei wa, hobo mainichi toshokan de benkyō shite iru sō de, shiken no seiseki mo hijō ni yoi.
(The students at this university, who study in the library almost every day, reportedly have excellent exam results.)

先月引っ越してきた隣の人は、ほぼ毎日朝早く散歩に出かけるので、何度か会ったことがある。
sengetsu hikkoshite kita tonari no hito wa, hobo mainichi asa hayaku sanpo ni dekakeru node, nandoka atta koto ga aru.(
The neighbor who moved in last month goes for a walk almost every morning, so I’ve run into them a few times.)"
ほとんど,"<b>Word/Phrase</b>: ほとんど<br><b>Romaji</b>: hotondo<br><b>Meaning</b>: hampir semua<br><b>Example</b>: この町にある小さなカフェは、並べられているケーキやパンのほとんどを店主が毎朝作っており、地元の人々に愛されている。

Kono machi ni aru chiisana kafe wa, naraberarete iru kēki ya pan no hotondo o tenushu ga maiasa tsukutte ori, jimoto no hitobito ni aisarete iru.

(The small café in this town has almost all of its displayed cakes and bread made by the owner every morning, and it is loved by locals.)

今年の研究会では、参加した学生のほとんどが海外から来たため、議論は多くの言語を使って行われ、新しい視点が生まれた。

Kotoshi no kenkyūkai de wa, sanka shita gakusei no hotondo ga kaigai kara kita tame, giron wa ōku no gengo o tsukatte okonaware, atarashii shiten ga umareta.

(At this year’s study group, since almost all participating students came from abroad, discussions were held in many languages, giving rise to new perspectives.)"
一番,"<b>Word/Phrase</b>: 一番<br><b>Romaji</b>: ichiban<br><b>Meaning</b>: paling (the best)<br><b>Example</b>: 一番好きな食べ物はピザです。
Ichiban suki na tabemono wa pizza desu.
(My absolute favorite food is pizza.)

手作りのチーズたっぷりのマルゲリータが特に好みです。
Tezukuri no chīzu tappuri no marugerīta ga tokuni konomi desu.
(I particularly like homemade Margherita with plenty of cheese.)

一番印象に残っている旅行先は京都です。
Ichiban inshō ni nokotteiru ryokōsaki wa Kyōto desu.
(The most memorable trip I’ve ever taken was to Kyoto.)

京都の紅葉シーズンに訪れた時です。
Kyōto no kōyō shīzun ni otozureta toki desu.
(It was during the autumn foliage season.)"
意外と,"<b>Word/Phrase</b>: 意外と<br><b>Romaji</b>: igaito<br><b>Meaning</b>: ternyata<br><b>Example</b>: 意外とこのレストランの料理は美味しくて、値段も手頃です
igaito kono resutoran no ryouri wa oishikute, nedan mo tegoro desu
(Surprisingly, the food at this restaurant is delicious and reasonably priced)

意外と古いスマホでも、最新アプリが快適に動作します
igaito furui sumaho demo, saishin apuri ga kaiteki ni dousa shimasu
(Surprisingly, even an old smartphone runs the latest apps smoothly)"
一緒,"<b>Word/Phrase</b>: 一緒<br><b>Romaji</b>: issho + ni<br><b>Meaning</b>: bersama<br><b>Example</b>: 先週の金曜日に、長年付き合いのある友人と一緒に、待ちに待ったアクション映画を鑑賞しに行った。
senshū no kinyōbi ni, naganen tsukiai no aru yūjin to issho ni, machi ni matta akushon eiga o kanshō shi ni itta.
(Pada Jumat lalu, saya pergi menonton film aksi yang ditunggu-tunggu bersama teman yang sudah bertahun-tahun menjadi sahabat.)

去る4月、両親や兄弟と一緒に京都を訪ね、世界遺産に登録されている古いお寺を見て回った。
saru shigatsu, ryōshin ya kyōdai to issho ni Kyōto o tazune, sekai isan ni tōroku sarete iru furui otera o mite mawatta.
(Bulan April lalu, saya mengunjungi Kyoto bersama orang tua dan saudara, lalu berkeliling melihat kuil-kuil tua yang terdaftar sebagai warisan dunia.)"
一生懸命,"<b>Word/Phrase</b>: 一生懸命<br><b>Romaji</b>: isshoukenmei<br><b>Meaning</b>: dengan sungguh2<br><b>Example</b>: 学生時代に、将来の夢を持つ子供たちは、授業中だけでなく、家でも一生懸命問題集に取り組んでいる。
gakusei jidai ni, shourai no yume o motsu kodomotachi wa, jugyouchuu dake de naku, ie de mo isshoukenmei mondaishuu ni torikumunde iru.
(Murid-murid yang memiliki mimpi masa depan tidak hanya belajar sungguh-sungguh selama pelajaran, tetapi juga mengerjakan soal-soal latihan dengan giat di rumah.)

新入社員の田中さんは、先輩から教わった仕事を、細かいところまで一生懸命確認しながら進めている。
shinnyuusha'in no Tanaka-san wa, senpai kara osowatta shigoto o, komakai tokoro made isshoukenmei kakunin shinagara susumete iru.
(Tanaka, karyawan baru, mengerjakan pekerjaan yang diajarkan senior dengan teliti sambil memeriksa setiap detail dengan sungguh-sungguh.)"
いつでも,"<b>Word/Phrase</b>: いつでも<br><b>Romaji</b>: itsudemo<br><b>Meaning</b>: anytime<br><b>Example</b>: この店はいつでも開いているので、夜遅くても買い物ができます
kono mise wa itsudemo aite iru node, yoru osokute mo kaimono ga dekimasu
(This shop is always open, so you can go shopping even late at night)

いつでも質問があれば、遠慮なく連絡してください
itsudemo shitsumon ga areba, enryo naku renraku shite kudasai
(If you have any questions anytime, please don’t hesitate to contact me)"
いつも,"<b>Word/Phrase</b>: いつも<br><b>Romaji</b>: itsumo<br><b>Meaning</b>: selalu<br><b>Example</b>: 彼が通う学校の図書室では、いつも静かな声で議論しながら、グループで課題に取り組む姿が見られる。

Kare ga kayou gakkō no toshoshitsu de wa, itsumo shizukana koe de gironshinagara, gurūpu de kadai ni torikumu sugata ga mirareru.

(In the library of the school he attends, you can always see groups working on assignments while quietly discussing.)

朝のホームルーム前、いつも教室の後ろで数人の生徒が昨日放課後に見た映画の結末について白熱した議論を交わしている。

Asa no hōmurūmu mae, itsumo kyōshitsu no ushiro de sūnin no seito ga kinō hōkago ni mita eiga no ketsumatsu ni tsuite hakunetsu shita giron o kawashiteiru.

(Before morning homeroom, you can always find a few students at the back of the classroom having a heated debate about the ending of the movie they watched after school yesterday.)"
自分で,"<b>Word/Phrase</b>: 自分で<br><b>Romaji</b>: jibunde<br><b>Meaning</b>: do something sendiri tanpa bantuan<br><b>Example</b>: 自分で料理を作ることで、家族の笑顔を見ることができました。
jibun de ryōri o tsukuru koto de, kazoku no egao o miru koto ga dekimashita.
(Being able to see my family's smiles by cooking for them myself.)

自分で家の修理をすることで、節約することができました。
jibun de ie no shūri o suru koto de, setsuyaku suru koto ga dekimashita.
(Being able to save money by doing home repairs myself.)"
十分,"<b>Word/Phrase</b>: 十分<br><b>Romaji</b>: juubun<br><b>Meaning</b>: full/plenty<br><b>Example</b>: 十分な時間がありますので、ゆっくり食事をしましょう。
jūbun na jikan ga arimasu node, yukkuri shokuji o shimashou.
(We have plenty of time, so let's eat slowly.)

十分な睡眠をとることが大切です。
jūbun na suimin o toru koto ga taisetsu desu.
(It is important to get enough sleep.)"
